Year/Month,No_of_rape_survivors,Total_survivors_with_disability,No_of_perpetrators,OBJECTID
Jan-14,63,3,11,0
Feb-14,45,4,5,1
Mar-14,67,0,5,2
Apr-14,50,3,0,3
May-14,54,3,3,4
Jun-14,64,6,3,5
Jul-14,93,4,9,6
Aug-14,104,0,5,7
Sep-14,114,4,10,8
Oct-14,97,4,5,9
Nov-14,97,1,12,10
Dec-14,125,3,6,11
Jan-15,140,8,7,12
Feb-15,103,9,6,13
Mar-15,106,5,16,14
Apr-15,82,2,12,15
May-15,84,2,3,16
Jun-15,88,10,11,17
Jul-15,124,4,7,18
Aug-15,101,2,7,19
Sep-15,127,1,2,20
Oct-15,160,7,9,21
Nov-15,132,10,8,22
Dec-15,150,5,17,23
Jan-16,142,7,12,24
Feb-16,150,4,14,25
Mar-16,132,4,14,26
Apr-16,120,1,5,27
May-16,136,3,1,28
Jun-16,114,3,2,29
Jul-16,154,4,10,30
Aug-16,141,11,3,31
Sep-16,134,2,13,32
